osm_id,name,ref,type,oneway,bridge,maxspeed,BUFF_DIST,ORIG_FID
29131831,东六环路,G4501,motorway,1,0,0,10.0,0
29142010,京哈高速,G1;AH1,motorway,1,1,0,10.0,1
29142193,京哈高速,G1;AH1,motorway,1,1,0,10.0,2
29142203,京哈高速,G1;AH1,motorway,1,0,0,10.0,3
29142261,六环路,None,motorway,1,0,0,10.0,4
29253391,东六环,None,motorway,1,0,0,10.0,5
29371266,玉带河东街,None,primary,1,0,0,10.0,6
29377418,紫运中路,None,secondary,1,0,0,10.0,7
31758714,None,None,residential,0,0,0,10.0,8
31758755,运河圆路,None,residential,0,0,0,10.0,9
31779793,None,None,unclassified,0,0,0,10.0,10
31779803,芙蓉北路,None,tertiary,1,0,0,10.0,11
31779823,北运河东滨河路,None,secondary,1,0,0,10.0,12
31814388,故城东路,None,primary,1,0,0,10.0,13
31814444,玉桥中路,None,tertiary,1,0,0,10.0,14
31814521,临河里路,None,tertiary,1,0,0,10.0,15
31814623,滨河中路,None,tertiary,1,0,0,10.0,16
31814703,通胡大街,None,primary,1,0,0,10.0,17
31814740,通胡大街,X003,primary,1,0,0,10.0,18
31814765,通济路,S229,primary,1,0,0,10.0,19
31814777,通济路,S229,primary,1,1,0,10.0,20
31814778,通济路,S229,primary,1,0,0,10.0,21
31822003,武兴路,S306,primary,0,0,0,10.0,22
31822442,榆武路,None,unclassified,0,0,0,10.0,23
31822448,潞城中路,X017,secondary,0,0,0,10.0,24
31822493,None,None,tertiary,0,0,0,10.0,25
31860576,白师路,X203,secondary,0,0,0,10.0,26
31860652,None,None,unclassified,0,0,0,10.0,27
31861200,None,None,unclassified,0,0,0,10.0,28
31889567,大学西路,None,unclassified,0,0,0,10.0,29
31960563,朝晖东街,None,tertiary,0,0,0,10.0,30
31960603,荔景西路,None,residential,0,0,0,10.0,31
31960607,水仙东路,None,tertiary,1,0,0,10.0,32
31960612,紫运北街,None,tertiary,0,0,0,10.0,33
31960644,桦秀路,None,tertiary,0,0,0,10.0,34
31960901,兆善大街,None,secondary,1,0,0,10.0,35
31960914,景行路,None,construction,1,0,0,10.0,36
31961195,None,None,unclassified,0,0,0,10.0,37
